Individual,figure,filename,Experiment,treatment,dpf,protocol,clutch,sample purpose
KO_C4,3,iSeq048-TM-LHamp-214-cREG1-100-100d_S313_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C5,3,iSeq048-TM-LHamp-215-cREG1-100-100d_S314_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C5,3,iSeq048-TM-LHamp-215-cREG1-100-100d_S314_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C6,3,iSeq048-TM-LHamp-216-cREG1-100-100d_S315_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C6,3,iSeq048-TM-LHamp-216-cREG1-100-100d_S315_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C7,3,iSeq048-TM-LHamp-217-cREG1-100-100d_S316_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C7,3,iSeq048-TM-LHamp-217-cREG1-100-100d_S316_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C8,3,iSeq048-TM-LHamp-218-cREG1-100-100d_S317_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C8,3,iSeq048-TM-LHamp-218-cREG1-100-100d_S317_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C9,3,iSeq048-TM-LHamp-219-cREG1-100-100d_S318_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C9,3,iSeq048-TM-LHamp-219-cREG1-100-100d_S318_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C10,3,iSeq048-TM-LHamp-220-cREG1-100-100d_S319_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C10,3,iSeq048-TM-LHamp-220-cREG1-100-100d_S319_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C11,3,iSeq048-TM-LHamp-221-cREG1-100-100d_S320_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C11,3,iSeq048-TM-LHamp-221-cREG1-100-100d_S320_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C12,3,iSeq048-TM-LHamp-222-cREG1-100-100d_S321_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C12,3,iSeq048-TM-LHamp-222-cREG1-100-100d_S321_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C13,3,iSeq048-TM-LHamp-223-cREG1-100-100d_S322_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C13,3,iSeq048-TM-LHamp-223-cREG1-100-100d_S322_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C14,3,iSeq048-TM-LHamp-224-cREG1-100-100d_S323_L001_R1_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
KO_C14,3,iSeq048-TM-LHamp-224-cREG1-100-100d_S323_L001_R2_001.fastq,45S-M_KO_100dpf,cas9-guide RNP (3 guides targeting 45S-M promoter),100,lh-amp,C,ref.conformity
Uni_B1,3,iSeq048-TM-LHamp-225-cREG1-100-100d_S324_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B1,3,iSeq048-TM-LHamp-225-cREG1-100-100d_S324_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B2,3,iSeq048-TM-LHamp-226-cREG1-100-100d_S325_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B2,3,iSeq048-TM-LHamp-226-cREG1-100-100d_S325_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B3,3,iSeq048-TM-LHamp-227-cREG1-100-100d_S326_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B3,3,iSeq048-TM-LHamp-227-cREG1-100-100d_S326_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B4,3,iSeq048-TM-LHamp-228-cREG1-100-100d_S327_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B4,3,iSeq048-TM-LHamp-228-cREG1-100-100d_S327_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B5,3,iSeq048-TM-LHamp-229-cREG1-100-100d_S328_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B5,3,iSeq048-TM-LHamp-229-cREG1-100-100d_S328_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B6,3,iSeq048-TM-LHamp-230-cREG1-100-100d_S329_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B6,3,iSeq048-TM-LHamp-230-cREG1-100-100d_S329_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B7,3,iSeq048-TM-LHamp-231-cREG1-100-100d_S330_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B7,3,iSeq048-TM-LHamp-231-cREG1-100-100d_S330_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B8,3,iSeq048-TM-LHamp-232-cREG1-100-100d_S331_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B8,3,iSeq048-TM-LHamp-232-cREG1-100-100d_S331_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B9,3,iSeq048-TM-LHamp-233-cREG1-100-100d_S332_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B9,3,iSeq048-TM-LHamp-233-cREG1-100-100d_S332_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B10,3,iSeq048-TM-LHamp-234-cREG1-100-100d_S333_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B10,3,iSeq048-TM-LHamp-234-cREG1-100-100d_S333_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B11,3,iSeq048-TM-LHamp-235-cREG1-100-100d_S334_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B11,3,iSeq048-TM-LHamp-235-cREG1-100-100d_S334_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B12,3,iSeq048-TM-LHamp-236-cREG1-100-100d_S335_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B12,3,iSeq048-TM-LHamp-236-cREG1-100-100d_S335_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B13,3,iSeq048-TM-LHamp-237-cREG1-100-100d_S336_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B13,3,iSeq048-TM-LHamp-237-cREG1-100-100d_S336_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B14,3,iSeq048-TM-LHamp-238-cREG1-100-100d_S337_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B14,3,iSeq048-TM-LHamp-238-cREG1-100-100d_S337_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B15,3,iSeq048-TM-LHamp-239-cREG1-100-100d_S338_L001_R1_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
Uni_B15,3,iSeq048-TM-LHamp-239-cREG1-100-100d_S338_L001_R2_001.fastq,45S-M_KO_100dpf,Uninjected,100,lh-amp,B,ref.conformity
